Designator,Mid X,Mid Y,Rotation,Layer
BT1_2,149.84375,-122.03125,270.0,top
BT1,160.46875,-89.96875,90.0,top
D1_2,138.28125,-130.125,270.0,top
D1,172.03125,-81.875,90.0,top
D2_2,175.5,-81.875,90.0,top
D2,134.8125,-130.125,270.0,top
D3_2,178.96875,-81.875,90.0,top
D3,131.34375,-130.125,270.0,top
D4_2,182.4375,-81.875,90.0,top
D4,127.875,-130.125,270.0,top
D5_2,185.90625,-81.875,90.0,top
D5,124.40625,-130.125,270.0,top
MOUSE-BITE-2MM-SLOT_4,120.0,-106.0,0.0,top
MOUSE-BITE-2MM-SLOT_3,190.0,-106.0,0.0,top
MOUSE-BITE-2MM-SLOT_2,170.0,-106.0,0.0,top
MOUSE-BITE-2MM-SLOT,140.0,-106.0,0.0,top
S1_2,123.46875,-72.625,0.0,top
S1,186.84375,-139.375,180.0,top
S2_2,168.34375,-144.0,180.0,top
S2,141.96875,-68.0,0.0,top
S3_2,149.84375,-148.625,180.0,top
S3,160.46875,-63.375,0.0,top
S4_2,178.96875,-68.0,0.0,top
S4,131.34375,-144.0,180.0,top
S5_2,188.21875,-95.75,0.0,top
S5,122.09375,-116.25,180.0,top
SW1_2,174.34375,-95.75,90.0,top
SW1,135.96875,-116.25,270.0,top
U1_2,180.13375,-116.25,270.0,top
U1,130.17875,-95.75,90.0,top
